synthetic_id,template_star_id,label,null_family,noise_multiplier,score,flags,split
PHASE07-FULL-CADENCE:derd_geometric:0000,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,2.7860873644792603,"['ROOT_OUTSIDE_PHYSICAL_Q_DOMAIN', 'RESIDUE_PHASE_CONSTRAINT_WEAK', 'AMPLITUDE_RATIO_EXTREME']",development
PHASE07-FULL-CADENCE:derd_geometric:0001,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.5889051057994887,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0002,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.232213433511785,[],development
PHASE07-FULL-CADENCE:derd_geometric:0003,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.8331590482809073,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0004,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.9666371573015818,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0005,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.5085414298581806,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0006,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,1.5575990853554649,"['RESIDUE_SIGN_CONSTRAINT_FAILED', 'RESIDUE_PHASE_CONSTRAINT_WEAK']",development
PHASE07-FULL-CADENCE:derd_geometric:0007,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.5202284201477385,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0008,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.2962509234653646,[],development
PHASE07-FULL-CADENCE:derd_geometric:0009,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.27274336321978865,[],development
PHASE07-FULL-CADENCE:derd_geometric:0010,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,4.004725571966378,"['ROOT_OUTSIDE_PHYSICAL_Q_DOMAIN', 'AMPLITUDE_RATIO_EXTREME']",development
PHASE07-FULL-CADENCE:derd_geometric:0011,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.3707989333697338,[],development
PHASE07-FULL-CADENCE:derd_geometric:0012,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.36025150696075153,[],development
PHASE07-FULL-CADENCE:derd_geometric:0013,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.19117869731939877,[],development
PHASE07-FULL-CADENCE:derd_geometric:0014,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.7791802500509437,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0015,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,1.3992561405244055,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0016,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.2338784713000598,[],holdout
PHASE07-FULL-CADENCE:derd_geometric:0017,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.3684634209643063,[],development
PHASE07-FULL-CADENCE:derd_geometric:0018,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.19054645337213227,[],development
PHASE07-FULL-CADENCE:derd_geometric:0019,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,1.6331785736662812,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0020,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.5781407750810892,['RESIDUE_PHASE_CONSTRAINT_WEAK'],holdout
PHASE07-FULL-CADENCE:derd_geometric:0021,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.3848541011738146,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0022,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,1.130122387509331,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0023,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.9667913743039043,"['RESIDUE_SIGN_CONSTRAINT_FAILED', 'RESIDUE_PHASE_CONSTRAINT_WEAK']",holdout
PHASE07-FULL-CADENCE:derd_geometric:0024,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,13.38056400996299,"['ROOT_OUTSIDE_PHYSICAL_Q_DOMAIN', 'RESIDUE_PHASE_CONSTRAINT_WEAK', 'AMPLITUDE_RATIO_EXTREME']",holdout
PHASE07-FULL-CADENCE:derd_geometric:0025,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.8619022923538584,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0026,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.7107867418848793,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0027,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.13764732040523248,[],holdout
PHASE07-FULL-CADENCE:derd_geometric:0028,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,2.1591876745979195,"['RESIDUE_SIGN_CONSTRAINT_FAILED', 'RESIDUE_PHASE_CONSTRAINT_WEAK']",development
PHASE07-FULL-CADENCE:derd_geometric:0029,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.7999425237100694,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0030,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.5937444716433788,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0031,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,1.4085809652713126,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0032,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.3232634747617561,[],development
PHASE07-FULL-CADENCE:derd_geometric:0033,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.5103010932626552,[],holdout
PHASE07-FULL-CADENCE:derd_geometric:0034,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.31481612431790046,[],development
PHASE07-FULL-CADENCE:derd_geometric:0035,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.39712220267821935,[],holdout
PHASE07-FULL-CADENCE:derd_geometric:0036,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.25030174524709264,[],development
PHASE07-FULL-CADENCE:derd_geometric:0037,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.572693067673112,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0038,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,1.1474366753382284,['RESIDUE_PHASE_CONSTRAINT_WEAK'],holdout
PHASE07-FULL-CADENCE:derd_geometric:0039,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.1576473542351397,[],development
PHASE07-FULL-CADENCE:derd_geometric:0040,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.4735300638088588,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0041,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.941197737577828,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0042,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.30952732861564664,[],development
PHASE07-FULL-CADENCE:derd_geometric:0043,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,2.8229213373043867,"['ROOT_OUTSIDE_PHYSICAL_Q_DOMAIN', 'RESIDUE_SIGN_CONSTRAINT_FAILED', 'RESIDUE_PHASE_CONSTRAINT_WEAK', 'AMPLITUDE_RATIO_EXTREME']",holdout
PHASE07-FULL-CADENCE:derd_geometric:0044,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.2744366452748394,[],development
PHASE07-FULL-CADENCE:derd_geometric:0045,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,1.9290424918353626,"['RESIDUE_SIGN_CONSTRAINT_FAILED', 'RESIDUE_PHASE_CONSTRAINT_WEAK']",development
PHASE07-FULL-CADENCE:derd_geometric:0046,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.6636040639218281,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0047,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.655187110676646,['RESIDUE_PHASE_CONSTRAINT_WEAK'],holdout
PHASE07-FULL-CADENCE:derd_geometric:0048,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,1.0569500358735657,"['RESIDUE_SIGN_CONSTRAINT_FAILED', 'RESIDUE_PHASE_CONSTRAINT_WEAK']",holdout
PHASE07-FULL-CADENCE:derd_geometric:0049,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,1.0670646428500443,"['RESIDUE_SIGN_CONSTRAINT_FAILED', 'RESIDUE_PHASE_CONSTRAINT_WEAK']",development
PHASE07-FULL-CADENCE:derd_geometric:0050,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,1.033829631143848,['RESIDUE_PHASE_CONSTRAINT_WEAK'],holdout
PHASE07-FULL-CADENCE:derd_geometric:0051,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,1.0164362547838028,"['RESIDUE_SIGN_CONSTRAINT_FAILED', 'RESIDUE_PHASE_CONSTRAINT_WEAK']",development
PHASE07-FULL-CADENCE:derd_geometric:0052,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,3.1071885004438355,"['ROOT_OUTSIDE_PHYSICAL_Q_DOMAIN', 'RESIDUE_PHASE_CONSTRAINT_WEAK', 'AMPLITUDE_RATIO_EXTREME']",development
PHASE07-FULL-CADENCE:derd_geometric:0053,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,1.4518198031584215,"['RESIDUE_SIGN_CONSTRAINT_FAILED', 'RESIDUE_PHASE_CONSTRAINT_WEAK']",development
PHASE07-FULL-CADENCE:derd_geometric:0054,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,1.5517511663432069,['RESIDUE_PHASE_CONSTRAINT_WEAK'],development
PHASE07-FULL-CADENCE:derd_geometric:0055,PHASE07-FULL-CADENCE,1,derd_geometric,1.0,0.4913932416491203,[],development
